_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,PARKING_TYPE,FLANKING,BICYCLE_CAPACITY,SIZE_M,YEAR_INSTALLED,BY_LAW,DETAILS,OBJECTID,geometry
6787,7641979,21,Gerrard St E,21 Gerrard St E,,former Toronto,Toronto,Toronto Centre (13),,115001,7641994,21,,,,3495,,,,,39,Bike Rack,Gerrard St E,16,2.9,2016,,,1,"{u'type': u'Point', u'coordinates': (-79.3810999114, 43.6591625171)}"
6788,13991178,213,Delaware Ave,213 Delaware Ave,M6H 2T4,former Toronto,Toronto,Davenport (9),,115001,20033433,213,,,,3283,,,,,40,Angled Bike Rack,Delaware Ave,5,2.9,2014,,,2,"{u'type': u'Point', u'coordinates': (-79.4278708182, 43.6620573991)}"
6789,13991178,213,Delaware Ave,213 Delaware Ave,M6H 2T4,former Toronto,Toronto,Davenport (9),,115001,20033433,213,,,,3283,,,,,41,Bike Corral,Delaware Ave,8,3.0,2014,NO,,3,"{u'type': u'Point', u'coordinates': (-79.4278708182, 43.6620573991)}"
6790,14206623,2198,Yonge St,2198 Yonge St,M4S 2B8,former Toronto,Toronto,Toronto-St. Paul's (12),,115001,14230407,2198,,,,4733,,,,,42,Bike Rack,Soudan Ave,16,2.9,2016,,,4,"{u'type': u'Point', u'coordinates': (-79.3984239072, 43.7058827895)}"
6791,10494377,222,Spadina Ave,222 Spadina Ave,M5T 3B3,former Toronto,Toronto,Spadina-Fort York (10),,115001,10494181,222,,,,4426,,,,,44,Bike Rack,Spadina Ave,16,2.9,2016,,,5,"{u'type': u'Point', u'coordinates': (-79.397837765, 43.6509286639)}"
6792,765142,236,Augusta Ave,236 Augusta Ave,M5T 2L7,former Toronto,Toronto,University-Rosedale (11),,115001,1144604,236,,,,2918,,,,,45,Bike Corral,Augusta Ave,24,12.0,2012,Y,,6,"{u'type': u'Point', u'coordinates': (-79.4025948746, 43.6553455062)}"
6793,30035743,36,Lisgar St,36 Lisgar St,M6J 0C7,former Toronto,Toronto,Davenport (9),,115001,14024655,36,,,,3859,,,,,59,Bike Rack,Lisgar St,8,2.9,2016,,,7,"{u'type': u'Point', u'coordinates': (-79.4233157461, 43.6417386471)}"
6794,10223676,468,King St W,468 King St W,M5V 1L8,former Toronto,Toronto,Spadina-Fort York (10),,115001,10223667,468,,,,3780,,,,,70,Bike Rack,King St W,8,2.9,2016,,,8,"{u'type': u'Point', u'coordinates': (-79.3959267185, 43.6455450875)}"
6795,14211049,5,Walmer Rd,5 Walmer Rd,,former Toronto,Toronto,University-Rosedale (11),,115001,10759044,5,,,,940,,,,,76,Bike Rack,Walmer Rd,8,2.9,2016,,,9,"{u'type': u'Point', u'coordinates': (-79.4053783829, 43.6667025083)}"
6796,10223683,500,King St W,500 King St W,M5V 1L9,former Toronto,Toronto,Spadina-Fort York (10),,115001,10223667,500,,,,3780,,,,,78,Bike Rack,King St W,8,2.9,2016,,,10,"{u'type': u'Point', u'coordinates': (-79.396805138, 43.6453156558)}"
6797,13991066,584,Bloor St W,584 Bloor St W,M6G 1K4,former Toronto,Toronto,University-Rosedale (11),,115001,8353520,584,,,,458,,,,,85,Bike Rack,,8,2.9,2017,,,11,"{u'type': u'Point', u'coordinates': (-79.4126936122, 43.6651006727)}"
6798,8416837,692,Bloor St W,692 Bloor St W,M6G 1L4,former Toronto,Toronto,University-Rosedale (11),,115001,8416823,692,,,,458,,,,,95,Bike Rack,Clinton Pl,16,2.9,2016,,,12,"{u'type': u'Point', u'coordinates': (-79.4174332539, 43.6639772448)}"
6799,7792587,790,Bay St,790 Bay St,M5G 1N8,former Toronto,Toronto,University-Rosedale (11),,115001,7792579,790,,,,2962,,,,,105,Bike Rack,Bay St,8,2.9,2016,,,13,"{u'type': u'Point', u'coordinates': (-79.3861750845, 43.6604459644)}"
6800,880972,241,Wellington St W,241 Wellington St W,,former Toronto,Toronto,Spadina-Fort York (10),,115001,1146352,241,,,,4652,,,,,46,Bike Rack,John St,16,2.9,2016,,,14,"{u'type': u'Point', u'coordinates': (-79.3900134102, 43.6449521398)}"
